feature,mean_abs_shap
age_years,0.8255075
length_m,0.78213406
construction_year,0.36658302
centroid_lat,0.362668
centroid_lon,0.28807506
age_x_diameter,0.28276393
years_since_last_break__isnan,0.21084648
trees_count_per_100m,0.16499825
log_length,0.15175578
material,0.13604096
avg_dbh_cm,0.09947318
years_since_last_break,0.09795082
diameter_mm,0.093801804
max_dbh_cm,0.08817555
sum_dbh_cm,0.08668856
median_dbh_cm,0.08260238
trees_with_dbh_count,0.05988988
trees_large_count,0.04372978
trees_count,0.036998186
breaks_past_5yr,0.033770822
trees_medium_count,0.03209944
trees_small_count,0.026731674
source_layer,0.014952375
breaks_past_3yr,0.011868723
construction_year__isnan,0.01005627
break_count,0.0069878274
age_years__isnan,0.0019913905
breaks_past_1yr,0.0018169722
avg_dbh_cm__isnan,0.00015764423
diameter_mm__isnan,9.619198e-05
median_dbh_cm__isnan,0.0
max_dbh_cm__isnan,0.0
